concept,template_id,template,text
maple,0,This is about {concept}.,This is about maple.
maple,1,The concept of {concept} is important.,The concept of maple is important.
maple,2,{concept} represents a fundamental idea.,maple represents a fundamental idea.
maple,3,Understanding {concept} requires careful thought.,Understanding maple requires careful thought.
maple,4,Many people think about {concept} differently.,Many people think about maple differently.
maple,5,The meaning of {concept} can vary across cultures.,The meaning of maple can vary across cultures.
willow,0,This is about {concept}.,This is about willow.
willow,1,The concept of {concept} is important.,The concept of willow is important.
willow,2,{concept} represents a fundamental idea.,willow represents a fundamental idea.
willow,3,Understanding {concept} requires careful thought.,Understanding willow requires careful thought.
willow,4,Many people think about {concept} differently.,Many people think about willow differently.
willow,5,The meaning of {concept} can vary across cultures.,The meaning of willow can vary across cultures.
bamboo,0,This is about {concept}.,This is about bamboo.
bamboo,1,The concept of {concept} is important.,The concept of bamboo is important.
bamboo,2,{concept} represents a fundamental idea.,bamboo represents a fundamental idea.
bamboo,3,Understanding {concept} requires careful thought.,Understanding bamboo requires careful thought.
bamboo,4,Many people think about {concept} differently.,Many people think about bamboo differently.
bamboo,5,The meaning of {concept} can vary across cultures.,The meaning of bamboo can vary across cultures.
moss,0,This is about {concept}.,This is about moss.
moss,1,The concept of {concept} is important.,The concept of moss is important.
moss,2,{concept} represents a fundamental idea.,moss represents a fundamental idea.
moss,3,Understanding {concept} requires careful thought.,Understanding moss requires careful thought.
moss,4,Many people think about {concept} differently.,Many people think about moss differently.
moss,5,The meaning of {concept} can vary across cultures.,The meaning of moss can vary across cultures.
ivy,0,This is about {concept}.,This is about ivy.
ivy,1,The concept of {concept} is important.,The concept of ivy is important.
ivy,2,{concept} represents a fundamental idea.,ivy represents a fundamental idea.
ivy,3,Understanding {concept} requires careful thought.,Understanding ivy requires careful thought.
ivy,4,Many people think about {concept} differently.,Many people think about ivy differently.
ivy,5,The meaning of {concept} can vary across cultures.,The meaning of ivy can vary across cultures.
vine,0,This is about {concept}.,This is about vine.
vine,1,The concept of {concept} is important.,The concept of vine is important.
vine,2,{concept} represents a fundamental idea.,vine represents a fundamental idea.
vine,3,Understanding {concept} requires careful thought.,Understanding vine requires careful thought.
vine,4,Many people think about {concept} differently.,Many people think about vine differently.
vine,5,The meaning of {concept} can vary across cultures.,The meaning of vine can vary across cultures.
apple,0,This is about {concept}.,This is about apple.
apple,1,The concept of {concept} is important.,The concept of apple is important.
apple,2,{concept} represents a fundamental idea.,apple represents a fundamental idea.
apple,3,Understanding {concept} requires careful thought.,Understanding apple requires careful thought.
apple,4,Many people think about {concept} differently.,Many people think about apple differently.
apple,5,The meaning of {concept} can vary across cultures.,The meaning of apple can vary across cultures.
banana,0,This is about {concept}.,This is about banana.
banana,1,The concept of {concept} is important.,The concept of banana is important.
banana,2,{concept} represents a fundamental idea.,banana represents a fundamental idea.
banana,3,Understanding {concept} requires careful thought.,Understanding banana requires careful thought.
banana,4,Many people think about {concept} differently.,Many people think about banana differently.
banana,5,The meaning of {concept} can vary across cultures.,The meaning of banana can vary across cultures.
orange,0,This is about {concept}.,This is about orange.
orange,1,The concept of {concept} is important.,The concept of orange is important.
orange,2,{concept} represents a fundamental idea.,orange represents a fundamental idea.
orange,3,Understanding {concept} requires careful thought.,Understanding orange requires careful thought.
orange,4,Many people think about {concept} differently.,Many people think about orange differently.
orange,5,The meaning of {concept} can vary across cultures.,The meaning of orange can vary across cultures.
grape,0,This is about {concept}.,This is about grape.
grape,1,The concept of {concept} is important.,The concept of grape is important.
grape,2,{concept} represents a fundamental idea.,grape represents a fundamental idea.
grape,3,Understanding {concept} requires careful thought.,Understanding grape requires careful thought.
grape,4,Many people think about {concept} differently.,Many people think about grape differently.
grape,5,The meaning of {concept} can vary across cultures.,The meaning of grape can vary across cultures.
strawberry,0,This is about {concept}.,This is about strawberry.
strawberry,1,The concept of {concept} is important.,The concept of strawberry is important.
strawberry,2,{concept} represents a fundamental idea.,strawberry represents a fundamental idea.
strawberry,3,Understanding {concept} requires careful thought.,Understanding strawberry requires careful thought.
strawberry,4,Many people think about {concept} differently.,Many people think about strawberry differently.
strawberry,5,The meaning of {concept} can vary across cultures.,The meaning of strawberry can vary across cultures.
watermelon,0,This is about {concept}.,This is about watermelon.
watermelon,1,The concept of {concept} is important.,The concept of watermelon is important.
watermelon,2,{concept} represents a fundamental idea.,watermelon represents a fundamental idea.
watermelon,3,Understanding {concept} requires careful thought.,Understanding watermelon requires careful thought.
watermelon,4,Many people think about {concept} differently.,Many people think about watermelon differently.
watermelon,5,The meaning of {concept} can vary across cultures.,The meaning of watermelon can vary across cultures.
bread,0,This is about {concept}.,This is about bread.
bread,1,The concept of {concept} is important.,The concept of bread is important.
bread,2,{concept} represents a fundamental idea.,bread represents a fundamental idea.
bread,3,Understanding {concept} requires careful thought.,Understanding bread requires careful thought.
bread,4,Many people think about {concept} differently.,Many people think about bread differently.
bread,5,The meaning of {concept} can vary across cultures.,The meaning of bread can vary across cultures.
rice,0,This is about {concept}.,This is about rice.
rice,1,The concept of {concept} is important.,The concept of rice is important.
rice,2,{concept} represents a fundamental idea.,rice represents a fundamental idea.
rice,3,Understanding {concept} requires careful thought.,Understanding rice requires careful thought.
rice,4,Many people think about {concept} differently.,Many people think about rice differently.
rice,5,The meaning of {concept} can vary across cultures.,The meaning of rice can vary across cultures.
meat,0,This is about {concept}.,This is about meat.
meat,1,The concept of {concept} is important.,The concept of meat is important.
meat,2,{concept} represents a fundamental idea.,meat represents a fundamental idea.
meat,3,Understanding {concept} requires careful thought.,Understanding meat requires careful thought.
meat,4,Many people think about {concept} differently.,Many people think about meat differently.
meat,5,The meaning of {concept} can vary across cultures.,The meaning of meat can vary across cultures.
fish,0,This is about {concept}.,This is about fish.
fish,1,The concept of {concept} is important.,The concept of fish is important.
fish,2,{concept} represents a fundamental idea.,fish represents a fundamental idea.
fish,3,Understanding {concept} requires careful thought.,Understanding fish requires careful thought.
fish,4,Many people think about {concept} differently.,Many people think about fish differently.
fish,5,The meaning of {concept} can vary across cultures.,The meaning of fish can vary across cultures.
vegetable,0,This is about {concept}.,This is about vegetable.
vegetable,1,The concept of {concept} is important.,The concept of vegetable is important.
vegetable,2,{concept} represents a fundamental idea.,vegetable represents a fundamental idea.
vegetable,3,Understanding {concept} requires careful thought.,Understanding vegetable requires careful thought.
vegetable,4,Many people think about {concept} differently.,Many people think about vegetable differently.
vegetable,5,The meaning of {concept} can vary across cultures.,The meaning of vegetable can vary across cultures.
fruit,0,This is about {concept}.,This is about fruit.
fruit,1,The concept of {concept} is important.,The concept of fruit is important.
fruit,2,{concept} represents a fundamental idea.,fruit represents a fundamental idea.
fruit,3,Understanding {concept} requires careful thought.,Understanding fruit requires careful thought.
fruit,4,Many people think about {concept} differently.,Many people think about fruit differently.
fruit,5,The meaning of {concept} can vary across cultures.,The meaning of fruit can vary across cultures.
cheese,0,This is about {concept}.,This is about cheese.
cheese,1,The concept of {concept} is important.,The concept of cheese is important.
cheese,2,{concept} represents a fundamental idea.,cheese represents a fundamental idea.
cheese,3,Understanding {concept} requires careful thought.,Understanding cheese requires careful thought.
cheese,4,Many people think about {concept} differently.,Many people think about cheese differently.
cheese,5,The meaning of {concept} can vary across cultures.,The meaning of cheese can vary across cultures.
milk,0,This is about {concept}.,This is about milk.
milk,1,The concept of {concept} is important.,The concept of milk is important.
milk,2,{concept} represents a fundamental idea.,milk represents a fundamental idea.
milk,3,Understanding {concept} requires careful thought.,Understanding milk requires careful thought.
milk,4,Many people think about {concept} differently.,Many people think about milk differently.
milk,5,The meaning of {concept} can vary across cultures.,The meaning of milk can vary across cultures.
egg,0,This is about {concept}.,This is about egg.
egg,1,The concept of {concept} is important.,The concept of egg is important.
egg,2,{concept} represents a fundamental idea.,egg represents a fundamental idea.
egg,3,Understanding {concept} requires careful thought.,Understanding egg requires careful thought.
egg,4,Many people think about {concept} differently.,Many people think about egg differently.
egg,5,The meaning of {concept} can vary across cultures.,The meaning of egg can vary across cultures.
sugar,0,This is about {concept}.,This is about sugar.
sugar,1,The concept of {concept} is important.,The concept of sugar is important.
sugar,2,{concept} represents a fundamental idea.,sugar represents a fundamental idea.
sugar,3,Understanding {concept} requires careful thought.,Understanding sugar requires careful thought.
sugar,4,Many people think about {concept} differently.,Many people think about sugar differently.
sugar,5,The meaning of {concept} can vary across cultures.,The meaning of sugar can vary across cultures.
red,0,This is about {concept}.,This is about red.
red,1,The concept of {concept} is important.,The concept of red is important.
red,2,{concept} represents a fundamental idea.,red represents a fundamental idea.
red,3,Understanding {concept} requires careful thought.,Understanding red requires careful thought.
red,4,Many people think about {concept} differently.,Many people think about red differently.
red,5,The meaning of {concept} can vary across cultures.,The meaning of red can vary across cultures.
blue,0,This is about {concept}.,This is about blue.
blue,1,The concept of {concept} is important.,The concept of blue is important.
blue,2,{concept} represents a fundamental idea.,blue represents a fundamental idea.
blue,3,Understanding {concept} requires careful thought.,Understanding blue requires careful thought.
blue,4,Many people think about {concept} differently.,Many people think about blue differently.
blue,5,The meaning of {concept} can vary across cultures.,The meaning of blue can vary across cultures.
green,0,This is about {concept}.,This is about green.
green,1,The concept of {concept} is important.,The concept of green is important.
green,2,{concept} represents a fundamental idea.,green represents a fundamental idea.
green,3,Understanding {concept} requires careful thought.,Understanding green requires careful thought.
green,4,Many people think about {concept} differently.,Many people think about green differently.
green,5,The meaning of {concept} can vary across cultures.,The meaning of green can vary across cultures.
yellow,0,This is about {concept}.,This is about yellow.
yellow,1,The concept of {concept} is important.,The concept of yellow is important.
yellow,2,{concept} represents a fundamental idea.,yellow represents a fundamental idea.
yellow,3,Understanding {concept} requires careful thought.,Understanding yellow requires careful thought.
yellow,4,Many people think about {concept} differently.,Many people think about yellow differently.
yellow,5,The meaning of {concept} can vary across cultures.,The meaning of yellow can vary across cultures.
orange,0,This is about {concept}.,This is about orange.
orange,1,The concept of {concept} is important.,The concept of orange is important.
orange,2,{concept} represents a fundamental idea.,orange represents a fundamental idea.
orange,3,Understanding {concept} requires careful thought.,Understanding orange requires careful thought.
orange,4,Many people think about {concept} differently.,Many people think about orange differently.
orange,5,The meaning of {concept} can vary across cultures.,The meaning of orange can vary across cultures.
purple,0,This is about {concept}.,This is about purple.
purple,1,The concept of {concept} is important.,The concept of purple is important.
purple,2,{concept} represents a fundamental idea.,purple represents a fundamental idea.
purple,3,Understanding {concept} requires careful thought.,Understanding purple requires careful thought.
purple,4,Many people think about {concept} differently.,Many people think about purple differently.
purple,5,The meaning of {concept} can vary across cultures.,The meaning of purple can vary across cultures.
pink,0,This is about {concept}.,This is about pink.
pink,1,The concept of {concept} is important.,The concept of pink is important.
pink,2,{concept} represents a fundamental idea.,pink represents a fundamental idea.
pink,3,Understanding {concept} requires careful thought.,Understanding pink requires careful thought.
pink,4,Many people think about {concept} differently.,Many people think about pink differently.
pink,5,The meaning of {concept} can vary across cultures.,The meaning of pink can vary across cultures.
brown,0,This is about {concept}.,This is about brown.
brown,1,The concept of {concept} is important.,The concept of brown is important.
brown,2,{concept} represents a fundamental idea.,brown represents a fundamental idea.
brown,3,Understanding {concept} requires careful thought.,Understanding brown requires careful thought.
brown,4,Many people think about {concept} differently.,Many people think about brown differently.
brown,5,The meaning of {concept} can vary across cultures.,The meaning of brown can vary across cultures.
black,0,This is about {concept}.,This is about black.
black,1,The concept of {concept} is important.,The concept of black is important.
black,2,{concept} represents a fundamental idea.,black represents a fundamental idea.
black,3,Understanding {concept} requires careful thought.,Understanding black requires careful thought.
black,4,Many people think about {concept} differently.,Many people think about black differently.
black,5,The meaning of {concept} can vary across cultures.,The meaning of black can vary across cultures.
white,0,This is about {concept}.,This is about white.
white,1,The concept of {concept} is important.,The concept of white is important.
white,2,{concept} represents a fundamental idea.,white represents a fundamental idea.
white,3,Understanding {concept} requires careful thought.,Understanding white requires careful thought.
white,4,Many people think about {concept} differently.,Many people think about white differently.
white,5,The meaning of {concept} can vary across cultures.,The meaning of white can vary across cultures.
gray,0,This is about {concept}.,This is about gray.
gray,1,The concept of {concept} is important.,The concept of gray is important.
gray,2,{concept} represents a fundamental idea.,gray represents a fundamental idea.
gray,3,Understanding {concept} requires careful thought.,Understanding gray requires careful thought.
gray,4,Many people think about {concept} differently.,Many people think about gray differently.
gray,5,The meaning of {concept} can vary across cultures.,The meaning of gray can vary across cultures.
gold,0,This is about {concept}.,This is about gold.
gold,1,The concept of {concept} is important.,The concept of gold is important.
gold,2,{concept} represents a fundamental idea.,gold represents a fundamental idea.
gold,3,Understanding {concept} requires careful thought.,Understanding gold requires careful thought.
gold,4,Many people think about {concept} differently.,Many people think about gold differently.
gold,5,The meaning of {concept} can vary across cultures.,The meaning of gold can vary across cultures.
silver,0,This is about {concept}.,This is about silver.
silver,1,The concept of {concept} is important.,The concept of silver is important.
silver,2,{concept} represents a fundamental idea.,silver represents a fundamental idea.
silver,3,Understanding {concept} requires careful thought.,Understanding silver requires careful thought.
silver,4,Many people think about {concept} differently.,Many people think about silver differently.
silver,5,The meaning of {concept} can vary across cultures.,The meaning of silver can vary across cultures.
bronze,0,This is about {concept}.,This is about bronze.
bronze,1,The concept of {concept} is important.,The concept of bronze is important.
bronze,2,{concept} represents a fundamental idea.,bronze represents a fundamental idea.
bronze,3,Understanding {concept} requires careful thought.,Understanding bronze requires careful thought.
bronze,4,Many people think about {concept} differently.,Many people think about bronze differently.
bronze,5,The meaning of {concept} can vary across cultures.,The meaning of bronze can vary across cultures.
violet,0,This is about {concept}.,This is about violet.
violet,1,The concept of {concept} is important.,The concept of violet is important.
violet,2,{concept} represents a fundamental idea.,violet represents a fundamental idea.
violet,3,Understanding {concept} requires careful thought.,Understanding violet requires careful thought.
violet,4,Many people think about {concept} differently.,Many people think about violet differently.
violet,5,The meaning of {concept} can vary across cultures.,The meaning of violet can vary across cultures.
indigo,0,This is about {concept}.,This is about indigo.
indigo,1,The concept of {concept} is important.,The concept of indigo is important.
indigo,2,{concept} represents a fundamental idea.,indigo represents a fundamental idea.
indigo,3,Understanding {concept} requires careful thought.,Understanding indigo requires careful thought.
indigo,4,Many people think about {concept} differently.,Many people think about indigo differently.
indigo,5,The meaning of {concept} can vary across cultures.,The meaning of indigo can vary across cultures.
circle,0,This is about {concept}.,This is about circle.
circle,1,The concept of {concept} is important.,The concept of circle is important.
circle,2,{concept} represents a fundamental idea.,circle represents a fundamental idea.
circle,3,Understanding {concept} requires careful thought.,Understanding circle requires careful thought.
circle,4,Many people think about {concept} differently.,Many people think about circle differently.
circle,5,The meaning of {concept} can vary across cultures.,The meaning of circle can vary across cultures.
square,0,This is about {concept}.,This is about square.
square,1,The concept of {concept} is important.,The concept of square is important.
square,2,{concept} represents a fundamental idea.,square represents a fundamental idea.
square,3,Understanding {concept} requires careful thought.,Understanding square requires careful thought.
square,4,Many people think about {concept} differently.,Many people think about square differently.
square,5,The meaning of {concept} can vary across cultures.,The meaning of square can vary across cultures.
triangle,0,This is about {concept}.,This is about triangle.
triangle,1,The concept of {concept} is important.,The concept of triangle is important.
triangle,2,{concept} represents a fundamental idea.,triangle represents a fundamental idea.
triangle,3,Understanding {concept} requires careful thought.,Understanding triangle requires careful thought.
triangle,4,Many people think about {concept} differently.,Many people think about triangle differently.
triangle,5,The meaning of {concept} can vary across cultures.,The meaning of triangle can vary across cultures.
rectangle,0,This is about {concept}.,This is about rectangle.
rectangle,1,The concept of {concept} is important.,The concept of rectangle is important.
rectangle,2,{concept} represents a fundamental idea.,rectangle represents a fundamental idea.
rectangle,3,Understanding {concept} requires careful thought.,Understanding rectangle requires careful thought.
rectangle,4,Many people think about {concept} differently.,Many people think about rectangle differently.
rectangle,5,The meaning of {concept} can vary across cultures.,The meaning of rectangle can vary across cultures.
pentagon,0,This is about {concept}.,This is about pentagon.
pentagon,1,The concept of {concept} is important.,The concept of pentagon is important.
pentagon,2,{concept} represents a fundamental idea.,pentagon represents a fundamental idea.
pentagon,3,Understanding {concept} requires careful thought.,Understanding pentagon requires careful thought.
pentagon,4,Many people think about {concept} differently.,Many people think about pentagon differently.
pentagon,5,The meaning of {concept} can vary across cultures.,The meaning of pentagon can vary across cultures.
hexagon,0,This is about {concept}.,This is about hexagon.
hexagon,1,The concept of {concept} is important.,The concept of hexagon is important.
hexagon,2,{concept} represents a fundamental idea.,hexagon represents a fundamental idea.
hexagon,3,Understanding {concept} requires careful thought.,Understanding hexagon requires careful thought.
hexagon,4,Many people think about {concept} differently.,Many people think about hexagon differently.
hexagon,5,The meaning of {concept} can vary across cultures.,The meaning of hexagon can vary across cultures.
sphere,0,This is about {concept}.,This is about sphere.
sphere,1,The concept of {concept} is important.,The concept of sphere is important.
sphere,2,{concept} represents a fundamental idea.,sphere represents a fundamental idea.
sphere,3,Understanding {concept} requires careful thought.,Understanding sphere requires careful thought.
sphere,4,Many people think about {concept} differently.,Many people think about sphere differently.
sphere,5,The meaning of {concept} can vary across cultures.,The meaning of sphere can vary across cultures.
cube,0,This is about {concept}.,This is about cube.
cube,1,The concept of {concept} is important.,The concept of cube is important.
cube,2,{concept} represents a fundamental idea.,cube represents a fundamental idea.
cube,3,Understanding {concept} requires careful thought.,Understanding cube requires careful thought.
cube,4,Many people think about {concept} differently.,Many people think about cube differently.
cube,5,The meaning of {concept} can vary across cultures.,The meaning of cube can vary across cultures.
pyramid,0,This is about {concept}.,This is about pyramid.
pyramid,1,The concept of {concept} is important.,The concept of pyramid is important.
pyramid,2,{concept} represents a fundamental idea.,pyramid represents a fundamental idea.
pyramid,3,Understanding {concept} requires careful thought.,Understanding pyramid requires careful thought.
pyramid,4,Many people think about {concept} differently.,Many people think about pyramid differently.
pyramid,5,The meaning of {concept} can vary across cultures.,The meaning of pyramid can vary across cultures.
cylinder,0,This is about {concept}.,This is about cylinder.
cylinder,1,The concept of {concept} is important.,The concept of cylinder is important.
cylinder,2,{concept} represents a fundamental idea.,cylinder represents a fundamental idea.
cylinder,3,Understanding {concept} requires careful thought.,Understanding cylinder requires careful thought.
cylinder,4,Many people think about {concept} differently.,Many people think about cylinder differently.
cylinder,5,The meaning of {concept} can vary across cultures.,The meaning of cylinder can vary across cultures.
cone,0,This is about {concept}.,This is about cone.
cone,1,The concept of {concept} is important.,The concept of cone is important.
cone,2,{concept} represents a fundamental idea.,cone represents a fundamental idea.
cone,3,Understanding {concept} requires careful thought.,Understanding cone requires careful thought.
cone,4,Many people think about {concept} differently.,Many people think about cone differently.
cone,5,The meaning of {concept} can vary across cultures.,The meaning of cone can vary across cultures.
prism,0,This is about {concept}.,This is about prism.
prism,1,The concept of {concept} is important.,The concept of prism is important.
prism,2,{concept} represents a fundamental idea.,prism represents a fundamental idea.
prism,3,Understanding {concept} requires careful thought.,Understanding prism requires careful thought.
prism,4,Many people think about {concept} differently.,Many people think about prism differently.
prism,5,The meaning of {concept} can vary across cultures.,The meaning of prism can vary across cultures.
oval,0,This is about {concept}.,This is about oval.
oval,1,The concept of {concept} is important.,The concept of oval is important.
oval,2,{concept} represents a fundamental idea.,oval represents a fundamental idea.
oval,3,Understanding {concept} requires careful thought.,Understanding oval requires careful thought.
oval,4,Many people think about {concept} differently.,Many people think about oval differently.
oval,5,The meaning of {concept} can vary across cultures.,The meaning of oval can vary across cultures.
diamond,0,This is about {concept}.,This is about diamond.
diamond,1,The concept of {concept} is important.,The concept of diamond is important.
diamond,2,{concept} represents a fundamental idea.,diamond represents a fundamental idea.
diamond,3,Understanding {concept} requires careful thought.,Understanding diamond requires careful thought.
diamond,4,Many people think about {concept} differently.,Many people think about diamond differently.
diamond,5,The meaning of {concept} can vary across cultures.,The meaning of diamond can vary across cultures.
star shape,0,This is about {concept}.,This is about star shape.
star shape,1,The concept of {concept} is important.,The concept of star shape is important.
star shape,2,{concept} represents a fundamental idea.,star shape represents a fundamental idea.
star shape,3,Understanding {concept} requires careful thought.,Understanding star shape requires careful thought.
star shape,4,Many people think about {concept} differently.,Many people think about star shape differently.
star shape,5,The meaning of {concept} can vary across cultures.,The meaning of star shape can vary across cultures.
heart shape,0,This is about {concept}.,This is about heart shape.
heart shape,1,The concept of {concept} is important.,The concept of heart shape is important.
heart shape,2,{concept} represents a fundamental idea.,heart shape represents a fundamental idea.
heart shape,3,Understanding {concept} requires careful thought.,Understanding heart shape requires careful thought.
heart shape,4,Many people think about {concept} differently.,Many people think about heart shape differently.
heart shape,5,The meaning of {concept} can vary across cultures.,The meaning of heart shape can vary across cultures.
table,0,This is about {concept}.,This is about table.
table,1,The concept of {concept} is important.,The concept of table is important.
table,2,{concept} represents a fundamental idea.,table represents a fundamental idea.
table,3,Understanding {concept} requires careful thought.,Understanding table requires careful thought.
table,4,Many people think about {concept} differently.,Many people think about table differently.
table,5,The meaning of {concept} can vary across cultures.,The meaning of table can vary across cultures.
chair,0,This is about {concept}.,This is about chair.
chair,1,The concept of {concept} is important.,The concept of chair is important.
chair,2,{concept} represents a fundamental idea.,chair represents a fundamental idea.
chair,3,Understanding {concept} requires careful thought.,Understanding chair requires careful thought.
chair,4,Many people think about {concept} differently.,Many people think about chair differently.
chair,5,The meaning of {concept} can vary across cultures.,The meaning of chair can vary across cultures.
door,0,This is about {concept}.,This is about door.
door,1,The concept of {concept} is important.,The concept of door is important.
door,2,{concept} represents a fundamental idea.,door represents a fundamental idea.
door,3,Understanding {concept} requires careful thought.,Understanding door requires careful thought.
door,4,Many people think about {concept} differently.,Many people think about door differently.
door,5,The meaning of {concept} can vary across cultures.,The meaning of door can vary across cultures.
window,0,This is about {concept}.,This is about window.
window,1,The concept of {concept} is important.,The concept of window is important.
window,2,{concept} represents a fundamental idea.,window represents a fundamental idea.
window,3,Understanding {concept} requires careful thought.,Understanding window requires careful thought.
window,4,Many people think about {concept} differently.,Many people think about window differently.
window,5,The meaning of {concept} can vary across cultures.,The meaning of window can vary across cultures.
book,0,This is about {concept}.,This is about book.
book,1,The concept of {concept} is important.,The concept of book is important.
book,2,{concept} represents a fundamental idea.,book represents a fundamental idea.
book,3,Understanding {concept} requires careful thought.,Understanding book requires careful thought.
book,4,Many people think about {concept} differently.,Many people think about book differently.
book,5,The meaning of {concept} can vary across cultures.,The meaning of book can vary across cultures.
pen,0,This is about {concept}.,This is about pen.
pen,1,The concept of {concept} is important.,The concept of pen is important.
pen,2,{concept} represents a fundamental idea.,pen represents a fundamental idea.
pen,3,Understanding {concept} requires careful thought.,Understanding pen requires careful thought.
pen,4,Many people think about {concept} differently.,Many people think about pen differently.
pen,5,The meaning of {concept} can vary across cultures.,The meaning of pen can vary across cultures.
paper,0,This is about {concept}.,This is about paper.
paper,1,The concept of {concept} is important.,The concept of paper is important.
paper,2,{concept} represents a fundamental idea.,paper represents a fundamental idea.
paper,3,Understanding {concept} requires careful thought.,Understanding paper requires careful thought.
paper,4,Many people think about {concept} differently.,Many people think about paper differently.
paper,5,The meaning of {concept} can vary across cultures.,The meaning of paper can vary across cultures.
computer,0,This is about {concept}.,This is about computer.
computer,1,The concept of {concept} is important.,The concept of computer is important.
computer,2,{concept} represents a fundamental idea.,computer represents a fundamental idea.
computer,3,Understanding {concept} requires careful thought.,Understanding computer requires careful thought.
computer,4,Many people think about {concept} differently.,Many people think about computer differently.
computer,5,The meaning of {concept} can vary across cultures.,The meaning of computer can vary across cultures.
phone,0,This is about {concept}.,This is about phone.
phone,1,The concept of {concept} is important.,The concept of phone is important.
phone,2,{concept} represents a fundamental idea.,phone represents a fundamental idea.
phone,3,Understanding {concept} requires careful thought.,Understanding phone requires careful thought.
phone,4,Many people think about {concept} differently.,Many people think about phone differently.
phone,5,The meaning of {concept} can vary across cultures.,The meaning of phone can vary across cultures.
car,0,This is about {concept}.,This is about car.
car,1,The concept of {concept} is important.,The concept of car is important.
car,2,{concept} represents a fundamental idea.,car represents a fundamental idea.
car,3,Understanding {concept} requires careful thought.,Understanding car requires careful thought.
car,4,Many people think about {concept} differently.,Many people think about car differently.
car,5,The meaning of {concept} can vary across cultures.,The meaning of car can vary across cultures.
bicycle,0,This is about {concept}.,This is about bicycle.
bicycle,1,The concept of {concept} is important.,The concept of bicycle is important.
bicycle,2,{concept} represents a fundamental idea.,bicycle represents a fundamental idea.
bicycle,3,Understanding {concept} requires careful thought.,Understanding bicycle requires careful thought.
bicycle,4,Many people think about {concept} differently.,Many people think about bicycle differently.
bicycle,5,The meaning of {concept} can vary across cultures.,The meaning of bicycle can vary across cultures.
house,0,This is about {concept}.,This is about house.
house,1,The concept of {concept} is important.,The concept of house is important.
house,2,{concept} represents a fundamental idea.,house represents a fundamental idea.
house,3,Understanding {concept} requires careful thought.,Understanding house requires careful thought.
house,4,Many people think about {concept} differently.,Many people think about house differently.
house,5,The meaning of {concept} can vary across cultures.,The meaning of house can vary across cultures.
building,0,This is about {concept}.,This is about building.
building,1,The concept of {concept} is important.,The concept of building is important.
building,2,{concept} represents a fundamental idea.,building represents a fundamental idea.
building,3,Understanding {concept} requires careful thought.,Understanding building requires careful thought.
building,4,Many people think about {concept} differently.,Many people think about building differently.
building,5,The meaning of {concept} can vary across cultures.,The meaning of building can vary across cultures.
bridge,0,This is about {concept}.,This is about bridge.
bridge,1,The concept of {concept} is important.,The concept of bridge is important.
bridge,2,{concept} represents a fundamental idea.,bridge represents a fundamental idea.
bridge,3,Understanding {concept} requires careful thought.,Understanding bridge requires careful thought.
bridge,4,Many people think about {concept} differently.,Many people think about bridge differently.
bridge,5,The meaning of {concept} can vary across cultures.,The meaning of bridge can vary across cultures.
road,0,This is about {concept}.,This is about road.
road,1,The concept of {concept} is important.,The concept of road is important.
road,2,{concept} represents a fundamental idea.,road represents a fundamental idea.
road,3,Understanding {concept} requires careful thought.,Understanding road requires careful thought.
road,4,Many people think about {concept} differently.,Many people think about road differently.
road,5,The meaning of {concept} can vary across cultures.,The meaning of road can vary across cultures.
path,0,This is about {concept}.,This is about path.
path,1,The concept of {concept} is important.,The concept of path is important.
path,2,{concept} represents a fundamental idea.,path represents a fundamental idea.
path,3,Understanding {concept} requires careful thought.,Understanding path requires careful thought.
path,4,Many people think about {concept} differently.,Many people think about path differently.
path,5,The meaning of {concept} can vary across cultures.,The meaning of path can vary across cultures.
running,0,This is about {concept}.,This is about running.
running,1,The concept of {concept} is important.,The concept of running is important.
running,2,{concept} represents a fundamental idea.,running represents a fundamental idea.
running,3,Understanding {concept} requires careful thought.,Understanding running requires careful thought.
running,4,Many people think about {concept} differently.,Many people think about running differently.
running,5,The meaning of {concept} can vary across cultures.,The meaning of running can vary across cultures.
walking,0,This is about {concept}.,This is about walking.
walking,1,The concept of {concept} is important.,The concept of walking is important.
walking,2,{concept} represents a fundamental idea.,walking represents a fundamental idea.
walking,3,Understanding {concept} requires careful thought.,Understanding walking requires careful thought.
walking,4,Many people think about {concept} differently.,Many people think about walking differently.
walking,5,The meaning of {concept} can vary across cultures.,The meaning of walking can vary across cultures.
jumping,0,This is about {concept}.,This is about jumping.
jumping,1,The concept of {concept} is important.,The concept of jumping is important.
jumping,2,{concept} represents a fundamental idea.,jumping represents a fundamental idea.
jumping,3,Understanding {concept} requires careful thought.,Understanding jumping requires careful thought.
jumping,4,Many people think about {concept} differently.,Many people think about jumping differently.
jumping,5,The meaning of {concept} can vary across cultures.,The meaning of jumping can vary across cultures.
swimming,0,This is about {concept}.,This is about swimming.
swimming,1,The concept of {concept} is important.,The concept of swimming is important.
swimming,2,{concept} represents a fundamental idea.,swimming represents a fundamental idea.
swimming,3,Understanding {concept} requires careful thought.,Understanding swimming requires careful thought.
swimming,4,Many people think about {concept} differently.,Many people think about swimming differently.
swimming,5,The meaning of {concept} can vary across cultures.,The meaning of swimming can vary across cultures.
flying,0,This is about {concept}.,This is about flying.
flying,1,The concept of {concept} is important.,The concept of flying is important.
flying,2,{concept} represents a fundamental idea.,flying represents a fundamental idea.
flying,3,Understanding {concept} requires careful thought.,Understanding flying requires careful thought.
